link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
12068,Vauxhall Grove,300862026,3543,7060,1,"LINESTRING (-0.1204003 51.4850995, -0.1202313 51.4852468)",1,20.13,unclassified,20,32,,,auto,
12069,Brixton Road,300873532,1024,7061,1,"LINESTRING (-0.1133723 51.4662159, -0.1134413 51.4660924)",1,14.54,trunk,2,48,,,auto,
12070,Brixton Road,300873532,7061,98,1,"LINESTRING (-0.1134413 51.4660924, -0.1134655 51.4660525, -0.1134782 51.466029, -0.1135696 51.4659892)",1,15.22,trunk,2,48,,,auto,
12071,Brixton Road,300873532,99,1024,1,"LINESTRING (-0.1133794 51.4662998, -0.1133478 51.4662633, -0.1133723 51.4662159)",1,10.15,trunk,2,48,,,auto,
12072,Mandela Way,301841059,7062,1214,1,"LINESTRING (-0.0754628 51.489943, -0.0758226 51.4901163, -0.076265 51.4903282)",1,70.14,secondary,4,32,2,,auto,
12073,Mandela Way,301841059,1214,7062,1,"LINESTRING (-0.076265 51.4903282, -0.0758226 51.4901163, -0.0754628 51.489943)",1,70.14,secondary,4,32,1,,auto,
12074,Theed Street,302026659,5540,394,1,"LINESTRING (-0.1083959 51.5048938, -0.1083057 51.5048164, -0.1082555 51.5047402, -0.1082374 51.5046993)",1,24.51,residential,6,32,,,auto,
12075,Arlingford Road,302507332,1548,1440,1,"LINESTRING (-0.1125173 51.4538823, -0.1119923 51.4524748, -0.111975 51.4524556, -0.1119496 51.4524439)",1,165.32,unclassified,20,32,,,auto,
12076,Arlingford Road,302507332,1440,1548,1,"LINESTRING (-0.1119496 51.4524439, -0.111975 51.4524556, -0.1119923 51.4524748, -0.1125173 51.4538823)",1,165.32,unclassified,20,32,,,auto,
12077,Peckham High Street,304228799,7063,5576,1,"LINESTRING (-0.0697157 51.473557, -0.0696249 51.4735905, -0.0694783 51.4736341, -0.0689 51.473765)",1,61.18,trunk,2,32,,,auto,
12078,Peckham High Street,304228799,5576,7063,1,"LINESTRING (-0.0689 51.473765, -0.0694783 51.4736341, -0.0696249 51.4735905, -0.0697157 51.473557)",1,61.18,trunk,2,32,,,auto,
12079,Cardigan Street,305061911,1225,7064,1,"LINESTRING (-0.1125954 51.4878317, -0.1124751 51.4877169, -0.1123189 51.4876094)",1,31.36,residential,6,32,,,auto,
12080,Lambeth Road,305102212,5257,7065,1,"LINESTRING (-0.1197466 51.4945473, -0.1198685 51.4944814, -0.1199715 51.4944293, -0.1201858 51.4943104)",1,40.24,primary,3,32,2,,auto,
12081,Lambeth Road,305102212,7065,6946,1,"LINESTRING (-0.1201858 51.4943104, -0.1202427 51.4942878, -0.1202817 51.4942724)",1,7.87,primary,3,32,2,,auto,
